topic_id,level,subject,topic_text,one_line_context,stance_clarity,difficulty,keywords,sensitive
23,초등_저학년,도덕,도움을 요청하는 것은 부끄러운 일이 아니다,모르는 문제가 있어요,true,1,도움|용기,false
24,초등_저학년,도덕,거짓말은 상황이 어려워도 하면 안 된다,혼날까 봐 걱정돼요,true,2,정직|신뢰,false
25,초등_저학년,국어,책을 읽은 뒤 자신의 생각을 말해보는 것이 좋다,책을 읽었어요,true,1,독서|의견,false
26,초등_저학년,국어,친구의 기분을 생각하며 말해야 한다,말다툼이 났어요,true,1,배려|말하기,false
27,초등_저학년,국어,수업 중 질문하는 것은 좋은 행동이다,모르는 게 있어요,true,1,질문|학습,false
28,초등_저학년,사회,학교 물건은 함께 아껴 써야 한다,책상이 망가졌어요,true,1,공동물품|책임,false
29,초등_저학년,사회,약속 시간을 지키는 것은 중요하다,늦게 왔어요,true,1,시간|약속,false
30,초등_저학년,사회,반 친구 모두와 사이좋게 지내야 한다,친하지 않은 친구가 있어요,true,2,공동체|관계,false
31,초등_저학년,과학,날씨에 맞는 옷을 입는 것이 필요하다,비가 와요,true,1,날씨|생활,false
32,초등_저학년,과학,몸이 아플 때는 쉬는 것이 중요하다,아픈데 놀고 싶어요,true,1,건강|휴식,false
33,초등_저학년,과학,음식을 남기지 않는 것이 좋다,급식을 남겼어요,true,1,음식|절약,false
34,초등_저학년,도덕,다른 사람의 물건을 허락 없이 쓰면 안 된다,연필을 썼어요,true,1,권리|존중,false
35,초등_저학년,도덕,실수한 친구를 놀리지 말아야 한다,실수를 봤어요,true,1,배려|존중,false
36,초등_저학년,국어,친구의 발표를 집중해서 들어야 한다,발표 시간이에요,true,1,경청|수업,false
37,초등_저학년,국어,자기 생각을 차분하게 말하는 것이 중요하다,의견이 달라요,true,2,표현|소통,false
38,초등_저학년,사회,학교에서는 안전 규칙을 지켜야 한다,복도를 뛰어요,true,1,안전|규칙,false
39,초등_저학년,사회,공동으로 사용하는 공간은 깨끗이 해야 한다,교실이 더러워요,true,1,청결|공동체,false
40,초등_저학년,과학,쓰레기를 아무 데나 버리면 안 된다,길에 쓰레기가 있어요,true,1,환경|질서,false
41,초등_저학년,과학,자연을 관찰할 때 조심해야 한다,곤충을 봤어요,true,2,자연|관찰,false
42,초등_저학년,도덕,친구의 성공을 함께 기뻐해줘야 한다,상을 받았어요,true,1,공감|축하,false
43,초등_저학년,도덕,규칙을 어긴 친구에게도 기회를 줘야 한다,다시 약속해요,true,2,기회|용서,false
44,초등_저학년,국어,이야기를 들은 뒤 자신의 느낌을 말해보는 것이 좋다,이야기를 들었어요,true,1,느낌|표현,false
45,초등_저학년,사회,학교에서 서로 도와야 한다,무거운 걸 들고 있어요,true,1,협력|도움,false
46,초등_저학년,과학,불필요한 종이 사용을 줄여야 한다,종이를 많이 써요,true,2,환경|절약,false
47,초등_저학년,도덕,다른 사람의 의견을 무시하면 안 된다,의견이 달라요,true,1,존중|의견,false
48,초등_저학년,국어,친구에게 고운 말을 쓰는 것이 중요하다,말로 다퉜어요,true,1,언어|배려,false
49,초등_저학년,사회,학교 물건을 고의로 망가뜨리면 안 된다,물건이 부서졌어요,true,1,책임|공동체,false
50,초등_저학년,도덕,모두가 지켜야 할 약속은 중요하다,약속을 정했어요,true,1,약속|신뢰,false
51,초등_고학년,국어,발표 점수보다 발표 과정이 더 중요하다,발표 준비를 오래 했어요,true,2,발표|과정|평가,false
52,초등_고학년,국어,친구의 의견이 나와 달라도 존중하며 말해야 한다,토론 중 의견이 달라요,true,2,의견|존중|토론,false
53,초등_고학년,국어,토론에서는 상대방 말을 끝까지 들어야 한다,말을 끊는 일이 생겨요,true,2,경청|토론|소통,false
54,초등_고학년,국어,글을 쓸 때 자신의 경험을 예로 드는 것이 좋다,글쓰기를 하고 있어요,true,2,글쓰기|경험|표현,false
55,초등_고학년,국어,친구의 실수를 공개적으로 지적하면 안 된다,실수를 봤어요,true,2,배려|표현|존중,false
56,초등_고학년,국어,토론에서 이기는 것보다 이유를 설명하는 것이 중요하다,찬반 토론을 해요,true,3,토론|이유|설명,false
57,초등_고학년,사회,학교 규칙은 상황에 따라 바꿀 수 있어야 한다,불편한 규칙이 있어요,true,3,규칙|유연성|학교,false
58,초등_고학년,사회,학급에서 결정은 다수결로 하는 것이 공정하다,의견이 갈려요,true,2,다수결|공정|결정,false
59,초등_고학년,사회,학교에서 휴대전화 사용을 제한해야 한다,수업 중 전화가 울려요,true,3,휴대전화|규칙,false
60,초등_고학년,사회,공동체를 위해 개인의 불편은 감수해야 한다,규칙이 불편해요,true,3,공동체|책임,false
61,초등_고학년,사회,학교 행사 준비는 역할을 나누어 맡는 것이 좋다,행사를 준비해요,true,2,협력|역할,false
62,초등_고학년,사회,학생 의견은 학교 운영에 반영돼야 한다,의견을 내고 싶어요,true,3,참여|자치,false
63,초등_고학년,사회,규칙을 어긴 친구도 다시 기회를 받아야 한다,실수를 했어요,true,2,기회|규칙,false
64,초등_고학년,과학,환경 보호를 위해 일회용품 사용을 줄여야 한다,쓰레기가 늘어요,true,2,환경|일회용품,false
65,초등_고학년,과학,편리함보다 환경 보호가 더 중요하다,편리한 물건이 있어요,true,3,환경|선택,false
66,초등_고학년,과학,학교에서 에너지 절약 교육이 필요하다,전기를 많이 써요,true,2,에너지|교육,false
67,초등_고학년,과학,기술 발전은 항상 좋은 결과만 가져오지는 않는다,새 기술이 나왔어요,true,3,기술|영향,false
68,초등_고학년,과학,동물 실험은 꼭 필요한 경우에만 허용해야 한다,실험 영상을 봤어요,true,3,동물|실험,false
69,초등_고학년,과학,과학 기술 사용에는 책임이 따른다,기계를 사용해요,true,3,책임|과학,false
70,초등_고학년,도덕,친구의 잘못을 솔직하게 말해주는 것이 진정한 배려다,잘못을 봤어요,true,3,배려|정직,false
71,초등_고학년,도덕,규칙을 지키는 것이 개인의 자유보다 중요할 수 있다,규칙이 불편해요,true,3,자유|규칙,false
72,초등_고학년,도덕,다른 사람의 입장을 생각해 보고 행동해야 한다,오해가 생겨요,true,2,공감|입장,false
73,초등_고학년,도덕,결과보다 과정이 더 중요할 때도 있다,과정이 힘들었어요,true,2,과정|노력,false
74,초등_고학년,도덕,친구 관계에서도 책임 있는 행동이 필요하다,약속을 했어요,true,2,책임|관계,false
75,초등_고학년,국어,주장을 말할 때 근거를 함께 제시해야 한다,의견을 말해요,true,3,주장|근거,false
76,초등_고학년,국어,감정적인 표현보다 차분한 말이 더 효과적이다,화가 났어요,true,3,표현|감정,false
77,초등_고학년,사회,학교 규칙 위반에 대한 벌은 공정해야 한다,벌이 달라요,true,3,공정|규칙,false
78,초등_고학년,사회,공공장소에서는 개인 행동을 조심해야 한다,공원에 갔어요,true,2,공공장소|질서,false
79,초등_고학년,사회,학생 자치 활동은 확대될 필요가 있다,회의를 해요,true,3,자치|참여,false
80,초등_고학년,과학,환경 보호를 위해 개인 실천이 중요하다,분리수거를 해요,true,2,환경|실천,false
81,초등_고학년,과학,과학적 사실은 정확하게 전달돼야 한다,잘못된 정보를 봤어요,true,3,과학|정보,false
82,초등_고학년,도덕,다수의 의견이 항상 옳은 것은 아니다,소수 의견이 있어요,true,3,다수결|소수,false
83,초등_고학년,도덕,실수한 사람에게 두 번째 기회는 필요하다,다시 도전해요,true,2,기회|용서,false
84,초등_고학년,국어,다른 사람의 글에 대해 예의를 지켜 평가해야 한다,글을 읽었어요,true,2,평가|존중,false
85,초등_고학년,사회,학교에서 안전 교육은 더 강화돼야 한다,사고가 났어요,true,2,안전|교육,false
86,초등_고학년,과학,자연 보호를 위해 불편함을 감수할 수 있다,불편해요,true,3,자연|보호,false
87,초등_고학년,도덕,정직한 행동은 손해를 보더라도 지켜야 한다,혼날까 걱정돼요,true,3,정직|신뢰,false
88,초등_고학년,국어,토론에서 상대방 의견을 요약해 말해보는 것이 필요하다,토론 연습 중이에요,true,3,요약|토론,false
89,초등_고학년,사회,규칙은 모두의 안전을 위해 존재한다,안전 규칙이 있어요,true,2,규칙|안전,false
90,초등_고학년,과학,기후 변화 문제 해결에 개인도 책임이 있다,뉴스를 봤어요,true,3,기후|책임,false
91,초등_고학년,도덕,친구의 비밀이라도 위험하면 알려야 한다,위험한 상황이에요,true,3,비밀|안전,false
92,초등_고학년,국어,설득을 위해서는 상대방 관점을 이해해야 한다,설득해야 해요,true,3,설득|관점,false
93,초등_고학년,사회,학교 내 갈등은 대화를 통해 해결해야 한다,다툼이 있었어요,true,2,갈등|대화,false
94,초등_고학년,과학,기술 사용에는 장점과 단점이 함께 존재한다,새 기계를 써요,true,3,기술|영향,false
95,초등_고학년,도덕,공동체 생활에서는 배려가 꼭 필요하다,함께 생활해요,true,2,배려|공동체,false
96,초등_고학년,국어,의견을 말할 때 상대방 기분을 고려해야 한다,기분이 상했어요,true,2,의사소통|배려,false
97,초등_고학년,사회,학교 규칙은 시대 변화에 맞게 바뀔 수 있다,새로운 상황이에요,true,3,규칙|변화,false
98,초등_고학년,과학,환경 보호를 위해 소비를 줄이는 노력이 필요하다,물건을 많이 사요,true,3,소비|환경,false
99,초등_고학년,도덕,자신의 행동 결과에 책임을 져야 한다,문제가 생겼어요,true,2,책임|행동,false
100,초등_고학년,국어,토론 후 자신의 생각을 다시 정리해보는 것이 중요하다,토론이 끝났어요,true,2,성찰|토론,false
101,중학생,국어,토론에서는 감정보다 논리가 더 중요하다,의견이 격해졌어요,true,3,논리|토론|표현,false
102,중학생,국어,주장을 할 때는 신뢰할 수 있는 근거를 제시해야 한다,자료를 찾고 있어요,true,3,주장|근거|신뢰,false
103,중학생,국어,상대방의 의견을 요약해 반박하는 것이 바람직하다,토론 연습 중이에요,true,4,요약|반박|토론,false
104,중학생,국어,자신의 생각이 바뀌면 토론 중에도 인정해야 한다,의견이 달라졌어요,true,3,태도|토론,false
105,중학생,국어,토론에서 이기는 것보다 서로 이해하는 것이 중요하다,논쟁이 길어졌어요,true,3,이해|소통,false
106,중학생,국어,설득을 위해서는 상대방의 가치관을 고려해야 한다,설득해야 해요,true,4,설득|가치,false
107,중학생,국어,비판과 비난은 구분해서 사용해야 한다,말이 거칠어졌어요,true,3,비판|표현,false
108,중학생,사회,학교 규칙은 학생 생활에 실제로 도움이 돼야 한다,불필요한 규칙이 있어요,true,3,규칙|학교,false
109,중학생,사회,학생 의견은 학교 정책 결정에 반영될 필요가 있다,의견을 냈어요,true,4,참여|자치,false
110,중학생,사회,다수결은 항상 공정한 결정 방법은 아니다,소수 의견이 있어요,true,4,다수결|공정,false
111,중학생,사회,공동체 질서를 위해 개인의 자유는 제한될 수 있다,규칙이 불편해요,true,4,자유|질서,false
112,중학생,사회,학교 내 갈등은 징계보다 대화로 해결하는 것이 좋다,다툼이 있었어요,true,3,갈등|대화,false
113,중학생,사회,학생 자치 활동은 책임과 권한이 함께 주어져야 한다,회의를 하고 있어요,true,4,자치|책임,false
114,중학생,사회,학교에서 휴대전화 사용은 엄격히 제한해야 한다,수업 집중이 어려워요,true,3,휴대전화|규칙,false
115,중학생,사회,공공의 이익을 위해 개인의 불편은 감수할 수 있다,불편한 정책이에요,true,4,공공이익|책임,false
116,중학생,과학,기술 발전은 사회 문제를 해결하는 데 도움이 된다,새 기술을 배웠어요,true,3,기술|사회,false
117,중학생,과학,과학 기술 사용에는 윤리적 기준이 필요하다,기술 남용이 걱정돼요,true,4,윤리|기술,false
118,중학생,과학,환경 보호를 위해 생활의 불편함은 감수해야 한다,환경 캠페인을 해요,true,3,환경|실천,false
119,중학생,과학,기후 변화 문제는 개인의 노력만으로는 해결하기 어렵다,뉴스를 봤어요,true,4,기후변화|한계,false
120,중학생,과학,과학 정보는 출처를 확인하고 받아들여야 한다,정보가 많아요,true,3,정보|검증,false
121,중학생,과학,편리한 기술 사용이 인간의 책임을 약화시킬 수 있다,기계에 의존해요,true,4,책임|기술,false
122,중학생,과학,동물 실험은 과학 발전을 위해 필요할 수 있다,실험 사례를 봤어요,true,4,동물실험|과학,false
123,중학생,과학,환경 문제 해결에서 과학자의 역할은 매우 중요하다,환경 수업 중이에요,true,3,과학자|환경,false
124,중학생,도덕,옳은 행동이라면 불이익이 있어도 선택해야 한다,손해가 걱정돼요,true,4,양심|정직,false
125,중학생,도덕,규칙을 어긴 행동도 상황에 따라 이해될 수 있다,사정이 있었어요,true,3,규칙|이해,false
126,중학생,도덕,친구의 잘못을 지적하는 것은 배려일 수 있다,고민 중이에요,true,3,배려|정직,false
127,중학생,도덕,결과보다 선택의 이유가 더 중요할 때가 있다,결과가 나빴어요,true,4,선택|이유,false
128,중학생,도덕,다른 사람의 입장을 고려하지 않은 행동은 문제다,오해가 생겼어요,true,3,공감|입장,false
129,중학생,도덕,집단의 결정이라도 개인은 책임에서 자유로울 수 없다,함께 결정했어요,true,4,책임|집단,false
130,중학생,도덕,정직은 상황에 따라 타협할 수 있는 가치가 아니다,거짓말을 고민해요,true,4,정직|가치,false
131,중학생,국어,주장을 글로 표현할 때 구조가 분명해야 한다,글을 쓰고 있어요,true,3,구조|글쓰기,false
132,중학생,국어,감정적인 언어는 설득력을 떨어뜨린다,말이 거칠어졌어요,true,3,표현|설득,false
133,중학생,사회,학교 규칙 제정에는 학생 참여가 필요하다,규칙을 만들어요,true,4,참여|규칙,false
134,중학생,사회,공동체 문제 해결에는 개인의 참여가 중요하다,캠페인을 해요,true,3,참여|공동체,false
135,중학생,과학,과학적 사실과 의견은 구분해서 받아들여야 한다,토론 중이에요,true,3,사실|의견,false
136,중학생,과학,환경 보호 정책은 개인 생활에 영향을 줄 수 있다,규제가 생겼어요,true,4,환경|정책,false
137,중학생,도덕,타인의 자유는 나의 행동으로 침해될 수 있다,행동을 고민해요,true,3,자유|책임,false
138,중학생,국어,토론 후 자신의 주장 약점을 돌아보는 과정이 필요하다,토론이 끝났어요,true,3,성찰|토론,false
139,중학생,사회,학교에서의 처벌은 교육적 의미를 가져야 한다,벌을 받았어요,true,4,처벌|교육,false
140,중학생,과학,과학 기술 발전 속도는 사회가 감당할 수 있어야 한다,변화가 빨라요,true,4,기술|사회,false
141,중학생,도덕,선의의 행동도 결과에 대한 책임이 따른다,도와줬어요,true,3,선의|책임,false
142,중학생,국어,다른 의견을 반박할 때 예의를 지켜야 한다,토론 중이에요,true,3,반박|예의,false
143,중학생,사회,공공 규칙을 어겼을 때 처벌은 필요하다,규칙을 어겼어요,true,3,규칙|처벌,false
144,중학생,과학,과학 문제 해결에는 협력이 중요하다,조별 활동이에요,true,3,협력|과학,false
145,중학생,도덕,다수의 선택이 소수에게 불이익을 줄 수 있다,소수 의견이 있어요,true,4,다수|소수,false
146,중학생,국어,토론 주제에 따라 표현 방식은 달라져야 한다,주제가 어려워요,true,3,표현|전략,false
147,중학생,사회,학교 문제 해결에 학생 자율성은 필요하다,학생회 활동이에요,true,4,자율성|자치,false
148,중학생,과학,환경 보호는 개인과 사회의 공동 책임이다,캠페인을 봤어요,true,3,환경|책임,false
149,중학생,도덕,규칙보다 인간적 배려가 우선되는 상황이 있다,상황이 급해요,true,4,배려|판단,false
150,중학생,국어,토론 경험은 의사소통 능력 향상에 도움이 된다,토론 수업 중이에요,true,3,의사소통|경험,false
151,고등학생,국어,표현의 자유는 사회적 책임과 함께 제한될 수 있다,강한 표현이 논란이 됐어요,true,5,표현의자유|책임|언어,true
152,고등학생,국어,설득은 논리뿐 아니라 윤리적 태도도 중요하다,주장을 설득해야 해요,true,4,설득|윤리,true
153,고등학생,국어,공공 담론에서는 감정적 언어 사용을 자제해야 한다,논쟁이 과열됐어요,true,4,담론|표현,true
154,고등학생,국어,토론에서 소수 의견을 보호하는 장치가 필요하다,소수 의견이 묻혔어요,true,5,소수의견|토론,true
155,고등학생,국어,주장의 진실성은 말하는 사람의 태도에서도 드러난다,신뢰가 흔들려요,true,4,신뢰|태도,false
156,고등학생,국어,공적 발언과 사적 발언은 구분되어야 한다,SNS 글이 문제가 됐어요,true,5,공적발언|사적발언,true
157,고등학생,사회,공공의 안전을 위해 개인의 자유는 제한될 수 있다,안전 규제가 강화됐어요,true,4,자유|안전,true
158,고등학생,사회,법은 항상 정의롭다고 볼 수는 없다,불공정하다고 느껴요,true,5,법|정의,true
159,고등학생,사회,사회적 약자를 보호하기 위한 제도는 필요하다,격차 문제가 보여요,true,4,사회적약자|제도,true
160,고등학생,사회,공정은 결과보다 과정에서 판단해야 한다,결과가 불만족스러워요,true,4,공정|과정,false
161,고등학생,사회,국가는 개인의 삶에 일정 수준 개입할 수 있다,정책 영향이 커요,true,5,국가|개입,true
162,고등학생,사회,경제적 효율성보다 사회적 책임이 우선될 수 있다,비용 문제가 있어요,true,5,사회적책임|경제,true
163,고등학생,사회,다수의 합의라도 인권을 침해할 수 있다,소수 피해가 있어요,true,5,다수결|인권,true
164,고등학생,사회,사회 규범은 시대 변화에 따라 수정돼야 한다,가치관이 바뀌어요,true,4,규범|변화,true
165,고등학생,과학,과학 기술 발전은 인간의 통제를 받아야 한다,AI 기술이 확산돼요,true,5,기술통제|윤리,true
166,고등학생,과학,편리한 기술은 인간의 판단 능력을 약화시킬 수 있다,기계에 의존해요,true,4,기술의존|판단,false
167,고등학생,과학,환경 보호를 위해 강제적 규제가 필요할 수 있다,규제가 강화됐어요,true,5,환경규제|정책,true
168,고등학생,과학,기후 변화 대응은 개인 노력만으로는 한계가 있다,개인 실천이 부족해요,true,4,기후변화|한계,true
169,고등학생,과학,과학 연구에는 윤리적 한계선이 존재해야 한다,연구 논란이 있어요,true,5,연구윤리|과학,true
170,고등학생,과학,기술 발전 속도는 사회가 감당 가능한 수준이어야 한다,변화가 너무 빨라요,true,4,기술발전|사회,true
171,고등학생,과학,과학적 사실이라도 사회적 영향은 고려해야 한다,사회적 논란이 있어요,true,4,과학과사회|영향,true
172,고등학생,과학,환경 보호는 경제 성장보다 우선될 수 있다,개발 논쟁이 있어요,true,5,환경|경제,true
173,고등학생,도덕,옳은 선택이라면 개인적 손해를 감수해야 한다,불이익이 예상돼요,true,4,양심|선택,false
174,고등학생,도덕,법에 어긋난 행동이라도 도덕적으로 옳을 수 있다,양심의 갈등이에요,true,5,법과도덕|갈등,true
175,고등학생,도덕,결과가 좋다면 과정의 문제는 용인될 수 있다,결과가 중요해요,true,5,목적|수단,true
176,고등학생,도덕,개인의 자유는 타인의 권리를 침해하지 않는 범위에서 보장돼야 한다,권리 충돌이 있어요,true,4,자유|권리,true
177,고등학생,도덕,사회 정의는 개인의 희생을 요구할 수 있다,희생이 필요해요,true,5,정의|희생,true
178,고등학생,도덕,침묵은 중립이 아니라 책임 회피일 수 있다,문제 상황을 봤어요,true,4,침묵|책임,true
179,고등학생,도덕,도덕적 판단은 상황에 따라 달라질 수 있다,상황이 복잡해요,true,4,도덕|상황,false
180,고등학생,도덕,다수의 이익을 위해 소수의 권리를 제한할 수 있다,소수 피해가 있어요,true,5,다수|소수,true
181,고등학생,국어,정보가 많을수록 비판적 읽기 능력이 중요하다,정보를 비교해요,true,4,비판적읽기|미디어,false
182,고등학생,국어,언어 선택은 사회적 영향력을 가진다,말이 논란이 됐어요,true,4,언어|영향,true
183,고등학생,사회,사회 불평등 해소를 위해 적극적 개입이 필요하다,격차가 커요,true,5,불평등|정책,true
184,고등학생,사회,공공 정책은 모든 집단에 동일한 영향을 주지 않는다,영향이 달라요,true,4,정책|영향,true
185,고등학생,과학,과학 기술의 혜택은 공정하게 분배돼야 한다,혜택 차이가 있어요,true,4,기술격차|공정,true
186,고등학생,과학,미래 기술의 위험성은 사전에 규제해야 한다,위험이 우려돼요,true,5,예방규제|기술,true
187,고등학생,도덕,도덕적 책임은 법적 책임보다 우선할 수 있다,법적 문제는 없어요,true,4,책임|윤리,true
188,고등학생,국어,주장은 사회적 맥락 속에서 해석돼야 한다,맥락이 중요해요,true,4,맥락|해석,false
189,고등학생,사회,개인의 선택은 사회 구조의 영향을 받는다,환경이 달라요,true,4,구조|선택,true
190,고등학생,과학,환경 문제는 미래 세대의 권리와 연결된다,미래를 생각해요,true,4,미래세대|환경,true
191,고등학생,도덕,선의의 행동도 결과에 대한 책임을 면제하지 않는다,결과가 나빴어요,true,4,선의|책임,false
192,고등학생,국어,논쟁적 주제일수록 표현의 정확성이 중요하다,오해가 생겨요,true,4,정확성|표현,false
193,고등학생,사회,공공 이익을 판단하는 기준은 명확하지 않다,의견이 갈려요,true,4,공공이익|판단,true
194,고등학생,과학,과학 기술은 가치 중립적이지 않다,사용 방식이 달라요,true,5,가치중립|기술,true
195,고등학생,도덕,도덕적 판단에서 감정은 배제되어야 한다,감정이 앞섰어요,true,4,감정|판단,false
196,고등학생,국어,설득 과정에서 상대의 존엄을 훼손하면 안 된다,말이 상처가 됐어요,true,4,존엄|설득,false
197,고등학생,사회,사회 변화는 점진적으로 이루어지는 것이 바람직하다,급격한 변화가 있어요,true,4,사회변화|속도,true
198,고등학생,과학,환경 보호를 위해 개인 소비는 제한될 수 있다,소비 규제가 있어요,true,5,소비제한|환경,true
199,고등학생,도덕,도덕적 옳음은 항상 명확하지 않다,판단이 어려워요,true,4,도덕|모호성,false
200,고등학생,국어,토론은 합의보다 쟁점 이해에 목적이 있을 수 있다,합의가 안 됐어요,true,4,토론목적|이해,false
